Company,Clicks,Impressions,CTR,ROI,Conversion_Rate,Acquisition_Cost,Engagement_Score,impressions_share
Style Sphere,109638299.0,338103559.0,0.31468076946928947,3.234566791233757,0.08084607712765958,7735.278477393617,4.4240359042553195,0.02011291553178916
Attire Artistry,110625670.0,341450191.0,0.3143586614042864,3.227862502315003,0.08135504028942608,7768.747104094721,4.428547936194705,0.020311998105575328
Balance Beam,111864560.0,345155077.0,0.3140979175499568,3.2276806496852477,0.0797436313483693,7730.054978095083,4.403537238357942,0.02053239229306422
Code Crafters,109776800.0,339005035.0,0.31448609348268586,3.2127200397210345,0.0796212247622226,7860.839262472886,4.309861505089271,0.0201665420321891
Cyber Circuit,108234154.0,334183327.0,0.3138417035937388,3.2122992888838553,0.07993359893758299,7679.466928950864,4.356739707835326,0.019879710961821836
Vital Vigor,108708985.0,335337005.0,0.31433984277442173,3.209698973079587,0.0791986531986532,7793.768989898989,4.4043771043771045,0.01994834031382722
Hearth Harmony,107147525.0,330838448.0,0.31370068225047903,3.209554585100547,0.07970435074752226,7695.60203258861,4.358306736099446,0.019680732669519817
Nosh Nirvana,104827470.0,323762789.0,0.31415820275934064,3.2046060730280566,0.08029159519725558,7701.581159519725,4.328987993138936,0.019259819821930584
Culinary Quest,109853897.0,338957858.0,0.314395965411798,3.2024591842137373,0.08020287958115183,7641.237889397905,4.486256544502618,0.02016373559318311
Pixel Pioneers,105966451.0,326975737.0,0.3140918787667278,3.2017775997526603,0.07950545702592088,7695.777337994544,4.4345156889495225,0.019450949876648613
Trend Tailors,109945663.0,339285869.0,0.31462419142306713,3.198463184725143,0.08008132780082988,7787.309370954357,4.315684647302905,0.02018324812820643
Fitness Front,109579998.0,338266427.0,0.3140885516122904,3.1984278239005954,0.07934118818453369,7772.52243942914,4.378692333222702,0.020122604132336637
Living Luxe,108091695.0,333685755.0,0.3139452026444462,3.1973673731178596,0.08003360215053763,7761.604082661291,4.369119623655914,0.019850111676808148
Aura Align,110553637.0,340963205.0,0.31385159795880335,3.1969499831184836,0.08020542317173378,7714.117002465078,4.400328677074774,0.0202830285546125
Glam Garments,110429250.0,340744502.0,0.3143481407512571,3.195964286656574,0.07992717643164515,7795.463829857663,4.378848063555115,0.020270018472794492
Wellness Waves,108269034.0,334068931.0,0.3142046265232349,3.1948489302322676,0.08033567134268538,7696.422089178356,4.45374081496326,0.0198729058365165
Silicon Saga,108815255.0,335834371.0,0.3141526413290992,3.192009518548382,0.08038640906062625,7730.902728181212,4.344936708860759,0.01997792734442805
Tech Titans,112018527.0,345671230.0,0.3149256151777213,3.1919710573175872,0.08099737101544528,7860.124730529083,4.412421952021032,0.020563096914219894
Cozy Corners,106025073.0,327058828.0,0.3139667926283805,3.1916086442163425,0.08047153635116598,7730.901704389576,4.362997256515775,0.01945589274761216
Gadget Giants,109104751.0,336930316.0,0.31447810267586823,3.1907969091822266,0.07947708092007282,7727.369291742512,4.363064702962105,0.02004312230799981
Decor Dreams,108566619.0,335244722.0,0.31417753765475337,3.189329269357412,0.07979782790309106,7771.392001670844,4.348036758563074,0.019942850634305623
Space Spruce,112351935.0,346646797.0,0.31399483658352445,3.1882275347311415,0.08061154598825832,7818.455647423353,4.342465753424658,0.020621130898614008
Quantum Quirks,107528122.0,331773465.0,0.3142580801994019,3.1860703999330844,0.07946316680779002,7756.282675698561,4.396613039796782,0.019736354438179716
NexGen Nerds,109052318.0,336570645.0,0.3145610366173791,3.1825138261398354,0.08110476830087307,7824.948428475487,4.3388179986568165,0.020021726400593128
Innovate Infinity,109448519.0,337860414.0,0.31428451910024435,3.1817642773347004,0.08023566249176005,7700.823783783783,4.311470006591958,0.02009845145793723
Gourmet Grove,108047190.0,333589561.0,0.3144435336945379,3.1816008761583756,0.08025352585627939,7762.984066487576,4.361652115513768,0.019844389341904644
Homely Haven,109316958.0,337348160.0,0.3142954605315824,3.1806007350547856,0.07982441610071228,7715.23539175087,4.376180221964552,0.020067978778314177
Elixir Essence,107424324.0,331613271.0,0.3140800387085953,3.178906713963642,0.07995113732097725,7731.987844987363,4.3644481887110365,0.01972682490704958
Fiber Fashion,108253810.0,334186694.0,0.3136734663267338,3.1736371736069655,0.08074808397200933,7706.509916694436,4.3328890369876705,0.01987991125603582
Savor Street,108086212.0,333494325.0,0.3141394439022503,3.171923542664548,0.07946790821416695,7644.379170269372,4.358496840705022,0.019838723995969657
Giga Geeks,107577431.0,331982478.0,0.3139914209000941,3.1714048661306915,0.07978463625572325,7788.480339155503,4.420552823469561,0.019748788086694034
Runway Rebels,108664428.0,335337912.0,0.31422170501625524,3.170375679639778,0.07995103832517306,7836.989858179976,4.4187067364511226,0.019948394268936243
Feast Flavors,109116653.0,336684577.0,0.3140933445583144,3.170191564970869,0.07916388518024033,7764.114087116155,4.40954606141522,0.020028503923725818
Heal Hub,107136301.0,330867619.0,0.3139942109227594,3.1699547857200563,0.08117053481331987,7714.96978472923,4.420450723175244,0.019682467977662425
Vigor Valley,110545175.0,341252731.0,0.31408309608585155,3.169295808989698,0.07939691904293675,7743.853223533268,4.301048836447067,0.020300251715467357
Gastronomy Guild,109985683.0,339345668.0,0.3141650441371355,3.1654498431363343,0.07896254557507458,7766.9797563805105,4.391448458733842,0.020186805417693247
Pulse Point,108989965.0,336428855.0,0.31384936600414515,3.1634688562474014,0.07968267154012294,7731.2412576840015,4.344243229772387,0.020013291676327913
Dwell Delight,109877805.0,339269221.0,0.3136461289121938,3.160751436767583,0.07986972295514512,7754.033369063325,4.3471306068601585,0.020182257781287977
Vogue Visions,108627898.0,335447138.0,0.31430911469483863,3.160556349415187,0.07914713216957606,7730.925117206983,4.355112219451372,0.019954891844171395
Bistro Bliss,108668335.0,335631468.0,0.3133122241304298,3.155653775808559,0.08107065669160432,7747.8605918537,4.31571072319202,0.019965857164178497
Chic Couture,107222525.0,330852829.0,0.3141587006935901,3.1500720891580443,0.07960013670539987,7818.076660970608,4.3737183868762814,0.019681588158409428
Well Wish,107025228.0,330223781.0,0.31403330025248416,3.149002578694988,0.08035532131927917,7752.540071404284,4.375552533151989,0.019644167702597422
Epicurean Edge,108841277.0,336069456.0,0.31469314218317923,3.1403851402829295,0.08033590863285187,7832.882067517635,4.317769566677864,0.019991911949505194
Palate Paradise,110490042.0,341066395.0,0.3137157675671163,3.1388023452039255,0.0793552091878589,7746.835598031173,4.32616899097621,0.020289167063653527
Silk & Style,107338097.0,331517622.0,0.31440394201626326,3.137829650194774,0.07992262405382675,7739.400185029437,4.371404541631623,0.019721134992801446
Domestic Dream,109672978.0,338582643.0,0.3144319301149781,3.1375751695954284,0.07957870293581025,7783.016088903632,4.345994360590479,0.02014141501299288
Mode Maven,108766467.0,335894174.0,0.3139769012004698,3.1277701242355884,0.0793939393939394,7709.321579731744,4.391455538996523,0.01998148487186463
Nest Neat,110231483.0,340283262.0,0.31410697932601234,3.1213226557705585,0.08058052745065516,7829.385191574059,4.368054403715376,0.020242580485488708
Furnish Fine,109292737.0,337713474.0,0.3139059222317015,3.120844798510195,0.07997856200527705,7751.46480540897,4.27160290237467,0.020089710373350653
Dine Divine,110477902.0,341213099.0,0.314064183765228,3.0975469521997065,0.08004624277456647,7834.183464905038,4.351279933938893,0.020297894109204018
